Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,tsun
2022-02-01,28.8,24.1,37.0,0.0,,297.0,3.7,1023.2,
2022-02-02,22.1,17.1,27.0,0.031,,54.0,4.0,1028.7,
2022-02-03,26.4,23.0,30.0,0.012,,11.0,1.3,1031.0,
2022-02-04,33.1,28.9,39.0,0.0,,323.0,3.0,1028.9,
2022-02-05,35.4,28.0,44.1,0.0,,320.0,3.2,1031.4,
2022-02-06,32.4,27.0,45.0,0.0,,3.0,0.9,1033.2,
2022-02-07,36.1,27.0,48.9,0.0,,315.0,3.4,1026.7,
2022-02-08,36.9,28.0,46.9,0.0,,5.0,2.8,1033.0,
2022-02-09,39.0,30.9,51.1,0.0,,0.0,0.7,1031.8,
2022-02-10,37.4,30.0,48.9,0.0,,334.0,2.3,1026.5,
2022-02-11,33.4,25.0,51.1,0.0,,7.0,1.5,1032.1,
2022-02-12,32.9,24.1,46.9,0.0,,2.0,1.1,1032.1,
2022-02-13,34.3,25.0,50.0,0.0,,7.0,0.7,1025.7,
2022-02-14,36.9,33.1,43.0,0.039,,332.0,3.9,1012.4,
2022-02-15,37.4,33.1,46.9,0.0,,328.0,1.8,1016.2,
2022-02-16,37.4,30.0,48.9,0.0,,323.0,3.0,1020.9,
2022-02-17,37.4,28.0,45.0,0.0,,250.0,5.3,1025.6,
2022-02-18,40.3,30.9,53.1,0.0,,356.0,3.7,1026.3,
2022-02-19,41.9,33.1,46.9,0.0,,244.0,8.3,1013.8,
2022-02-20,38.3,30.9,46.0,0.012,,253.0,7.5,1008.2,
2022-02-21,25.2,16.0,32.0,0.15,,54.0,11.4,1014.0,
2022-02-22,15.4,10.9,19.9,0.0,,38.0,10.0,1027.7,
2022-02-23,15.1,6.1,21.9,0.0,,322.0,2.7,1030.0,
2022-02-24,20.7,15.1,27.0,0.031,,296.0,3.0,1030.4,
2022-02-25,21.2,12.9,30.9,0.0,,17.0,1.4,1034.5,
2022-02-26,27.0,15.1,43.0,0.0,,6.0,1.1,1031.2,
2022-02-27,37.0,30.0,45.0,0.122,,60.0,3.9,1025.4,
2022-02-28,45.5,39.0,53.1,0.638,,188.0,7.2,1016.1,
2022-03-01,52.7,48.0,60.1,0.02,,240.0,7.5,1017.3,
2022-03-02,46.4,44.1,50.0,0.201,,359.0,1.2,1017.3,
2022-03-03,42.4,37.0,46.0,0.433,,310.0,3.0,1014.1,
2022-03-04,36.1,30.0,43.0,0.0,,341.0,2.3,1016.4,
2022-03-05,35.6,28.9,48.9,0.0,,348.0,0.9,1020.6,
2022-03-06,37.0,28.0,48.9,0.0,,2.0,2.6,1027.3,
2022-03-07,42.3,33.1,53.1,0.0,,271.0,3.7,1025.5,
2022-03-08,39.7,30.9,44.1,0.0,,17.0,7.5,1020.7,
2022-03-09,28.9,23.0,36.0,0.0,,19.0,6.9,1024.5,
2022-03-10,30.2,19.9,39.9,0.0,,285.0,4.8,1026.3,
2022-03-11,35.2,27.0,44.1,0.024,,20.0,2.9,1025.0,
2022-03-12,44.4,35.1,60.1,0.0,,358.0,2.9,1013.3,
2022-03-13,44.75,38.6,55.6,0.0455,,283.5,6.0,1016.7,
2022-03-14,45.1,42.1,51.1,0.091,,209.0,9.1,1020.1,
2022-03-15,47.8,42.1,55.9,0.185,,238.0,9.6,1015.3,
2022-03-16,43.0,37.0,52.0,0.0,,249.0,6.5,1023.0,
2022-03-17,43.5,30.9,54.0,0.0,,327.0,5.4,1021.1,
2022-03-18,46.0,39.0,53.1,0.047,,242.0,5.2,1017.7,
2022-03-19,42.3,33.8,50.0,0.13,,205.0,6.0,1010.5,
2022-03-20,39.2,30.2,48.2,0.012,,230.0,8.3,1020.8,
2022-03-21,40.8,35.6,46.4,0.122,,213.0,6.4,1027.3,
2022-03-22,46.0,41.0,51.8,0.0,,115.0,4.0,1030.0,
2022-03-23,50.0,37.4,62.6,0.209,,85.0,6.8,1020.3,
2022-03-24,45.5,33.8,55.4,0.0,,305.0,3.8,1022.8,
2022-03-25,46.8,35.6,60.8,0.0,,59.0,4.3,1017.2,
2022-03-26,49.8,39.2,62.6,0.0,,110.0,4.2,1014.1,
2022-03-27,54.0,41.0,69.8,0.0,,45.0,3.9,1006.0,
2022-03-28,54.5,42.8,66.2,0.0,,241.0,5.3,1004.8,
2022-03-29,52.7,42.8,62.6,0.0,,321.0,4.7,1013.0,
2022-03-30,48.9,41.0,57.2,0.008,,226.0,12.4,1014.8,
2022-03-31,43.3,33.8,53.6,0.012,,228.0,7.7,1016.8,
2022-04-01,43.3,32.0,53.6,0.0,,195.0,6.5,1017.1,
2022-04-02,46.6,37.4,55.4,0.138,,234.0,8.9,1017.0,
2022-04-03,45.7,32.0,57.2,0.0,,163.0,8.1,1013.9,
2022-04-04,45.7,37.4,53.6,0.378,,230.0,19.4,1000.0,
2022-04-05,42.1,33.8,53.6,0.004,,234.0,13.7,1018.4,
2022-04-06,40.8,28.4,53.6,0.0,,166.0,5.0,1032.5,
2022-04-07,48.6,30.2,66.2,0.0,,77.0,5.2,1028.5,
2022-04-08,48.6,39.2,57.2,0.205,,207.0,12.6,1016.0,
2022-04-09,40.8,32.0,50.0,0.047,,228.0,11.7,1017.0,
2022-04-10,35.2,28.4,44.6,0.039,,218.0,6.3,1012.2,
